"","lambdas","lambda_rmse"
"1",0,0.855844619990211
"2",0.5,0.855839410096414
"3",1,0.855848464806217
"4",1.5,0.855868163944874
"5",2,0.855896770256537
"6",2.5,0.855933113838579
"7",3,0.855976292372812
"8",3.5,0.85602556532444
"9",4,0.856080304788474
"10",4.5,0.856139968004909
"11",5,0.856204079896933
"12",5.5,0.856272220950088
"13",6,0.856344018262756
"14",6.5,0.856419138643635
"15",7,0.856497283118379
"16",7.5,0.856578182455668
"17",8,0.856661593459585
