"","OOS.RMSE","Redacted.Factor"
"1","0.864227251039831","None"
"2","0.864227844161519","Weekday"
"3","0.86422885711375","DayTime"
"4","0.86422863768721","Month"
"5","0.864598655486034","MovieAge"
"6","0.864299725223241","ReleaseYear"
"7","0.864424828523444","Genre"
"8","0.942153838437618","User"
"9","0.935745429491071","Movie"
